arquivo	status	pass	fail	segundos
aiprovider	OK	41	0	29
api	OK	32	0	4
audit-forense	OK	12	0	1
auth	OK	21	0	0
bench	OK	37	0	1
cascata-percepcao	OK	18	0	4
cli	OK	35	0	4
click-entrega	OK	21	0	9
e2e-gate	OK	12	0	2
injection-wired	OK	16	0	1
lease	OK	37	0	1
mcp	OK	30	0	1
observability	OK	22	0	0
ownership	OK	11	0	3
perception	OK	8	0	1
pointer-keyboard	OK	26	0	2
policy-vault	OK	14	0	1
product02-gate	OK	3	0	34
providers-runtime	OK	14	0	9
recovery-watchdog	OK	24	0	7
replay-hardening	OK	44	0	1
sdk-ts	OK	8	0	0
security-files-secrets	OK	38	0	1
security-net-injection	OK	22	0	1
session	OK	12	0	1
skills	OK	10	0	1
supervisor	OK	10	0	1
target-verifier	OK	28	0	2
task-engine	OK	19	0	14
traceability	OK	7	0	0
ui-build	OK	6	0	2
vision	OK	50	0	13
watchdog-wired	OK	8	0	9
